Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Feleipe Franks,QB,2021,0,0,0,0,9,0,1,0,0,1,3,6,0,0,0,0,,,,FranFe00
Pat Freiermuth,TE,2021,0,0,0,4,16,0,0,0,0,0,0,0,0,60,497,7,1,,,FreiPa00
Will Fries,OL,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,FrieWi00
Jake Fromm,QB,2021,0,0,0,1,3,27,60,210,1,3,8,65,0,0,0,0,,,,FromJa00
Aaron Fuller,WR,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,FullAa01
Jake Funk,RB,2021,0,0,0,0,10,0,0,0,0,0,2,5,0,0,0,0,1,,,FunkJa00
Innis Gaines,DB,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,GainIn00
Kenneth Gainwell,RB,2021,0,0,0,5,16,0,0,0,0,0,68,291,5,33,253,1,,,,GainKe00
Chris Garrett,LB,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,GarrCh00
Mark Gilbert,CB,2021,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,,,GilbMa02
Tyree Gillespie,S,2021,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,1,,,GillTy00
Blake Gillikin,P,2021,0,0,0,4,17,0,1,0,0,0,0,0,0,0,0,0,1,,,GillBl00
Chauncey Golston,DL,2021,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,14,,1.0,GolsCh00
Derrick Gore,RB,2021,0,0,0,3,11,0,0,0,0,0,51,256,2,8,105,0,,,,GoreDe00
Tay Gowan,DB,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,GowaTa00
Ta'Quon Graham,DL,2021,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,8,,,GrahTa00
Thomas Graham,CB,2021,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,,,GrahTh00
Kylen Granson,TE,2021,0,0,0,1,17,0,0,0,0,0,0,0,0,11,106,0,,,,GranKy00
Richie Grant,DB,2021,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,28,,,GranRi00
Noah Gray,TE,2021,0,0,0,0,16,0,0,0,0,0,0,0,0,7,36,1,,,,GrayNo00
Kendrick Green,OL,2021,0,0,1,5,15,0,0,0,0,0,0,0,0,0,0,0,1,,,GreeKe02
Nakia Griffin-Stewart,TE,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,GrifNa00
