Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
3,87,PIT,Kendrick Green,OL,22,2021,0,0,1,5,5,15,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois,College Stats,GreeKe02
3,88,SFO,Trey Sermon,RB,22,2021,0,0,0,1,1,9,0,0,0,0,0,41,167,1,3,26,0,1,,,Ohio St.,College Stats,SermTr00
3,89,HOU,Nico Collins,WR,22,2021,0,0,0,3,3,14,0,0,0,0,0,0,0,0,33,446,1,1,,,Michigan,College Stats,CollNi00
3,90,MIN,Patrick Jones II,DL,22,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,4,,,Pittsburgh,College Stats,JonePa00
3,91,CLE,Anthony Schwartz,WR,21,2021,0,0,0,1,1,14,0,0,0,0,0,6,39,0,10,135,1,2,,,Auburn,College Stats,SchwAn00
3,92,TEN,Monty Rice,LB,22,2021,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,17,,,Georgia,College Stats,RiceMo00
3,93,BUF,Spencer Brown,OL,23,2021,0,0,0,6,6,13,0,0,0,0,0,0,0,0,0,0,0,1,,,Northern Iowa,,BrowSp00
3,94,BAL,Ben Cleveland,OL,23,2021,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,ClevBe00
3,95,TAM,Robert Hainsey,OL,23,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,HainRo00
3,96,NWE,Ronnie Perkins,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats,PerkRo00
3,97,LAC,Tre' McKitty,TE,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,45,0,1,,,Georgia,College Stats,McKiTr00
3,98,DEN,Quinn Meinerz,C,22,2021,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin–Whitewater,,MeinQu02
3,99,DAL,Nahshon Wright,DB,22,2021,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,7,,,Oregon St.,College Stats,WrigNa00
3,100,TEN,Elijah Molden,DB,22,2021,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,43,1,,Washington,College Stats,MoldEl00
3,101,DET,Ifeatu Melifonwu,DB,22,2021,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,12,,,Syracuse,College Stats,MeliIf00
3,102,SFO,Ambry Thomas,DB,21,2021,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,17,1,,Michigan,College Stats,ThomAm00
3,103,LAR,Ernest Jones,LB,21,2021,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,36,2,1.0,South Carolina,College Stats,JoneEr01
3,104,BAL,Brandon Stephens,CB,23,2021,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,49,,,SMU,College Stats,StepBr01
