Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
341,Neal Sterling,NYJ,26,,5,4,8,6,47,0,2,18,3.0,29,4.8,3.9,1,6.0,0,0.0,0,89.1,SterNe00
342,Darren Waller,OAK,26,,4,0,6,6,75,0,4,19,3.2,56,9.3,3.2,1,6.0,0,0.0,0,118.7,WallDa01
343,Jay Ajayi,PHI,25,,4,3,6,5,20,0,1,-10,-2.0,30,6.0,0.0,1,5.0,0,0.0,0,80.6,AjayJa00
344,C.J. Anderson,2TM,27,,11,3,9,5,41,1,2,-4,-0.8,45,9.0,-0.3,1,5.0,2,22.2,,104.4,AndeC.00
345,Malcolm Brown,LAR,25,,12,0,7,5,52,1,2,13,2.6,39,7.8,2.6,0,,0,0.0,0,132.1,BrowMa03
346,Noah Brown,DAL,22,,8,2,8,5,54,0,2,34,6.8,20,4.0,9.4,0,,0,0.0,0,82.3,BrowNo00
347,Garrett Celek,SFO,30,,15,1,8,5,90,2,5,47,9.4,43,8.6,11.3,0,,1,12.5,1,101.0,CeleGa00
348,Corey Coleman,NYG,24,,8,1,8,5,71,0,5,63,12.6,8,1.6,12.5,0,,1,12.5,0,91.1,ColeCo00
349,Tyler Conklin,MIN,23,,16,3,7,5,77,0,3,46,9.2,31,6.2,8.4,0,,1,14.3,0,107.4,ConkTy00
350,Seth Devalve,CLE,25,,13,4,7,5,74,1,3,59,11.8,15,3.0,12.4,0,,1,14.3,1,105.7,DevaSe00
351,Devonta Freeman,ATL,26,,2,2,7,5,23,0,0,3,0.6,20,4.0,0.1,1,5.0,1,14.3,0,75.3,FreeDe00
352,Zach Line,NOR,28,RB,16,6,10,5,14,2,2,7,1.4,7,1.4,2.5,0,,3,30.0,0,95.8,LineZa01
353,Rishard Matthews,2TM,29,,8,0,9,5,24,0,1,19,3.8,5,1.0,5.0,0,,1,11.1,,60.9,MattRi00
354,Ray-Ray McCloud,BUF,22,,10,1,6,5,36,0,2,8,1.6,28,5.6,2.2,0,,0,0.0,0,91.7,McClRa00
355,David Morgan,MIN,25,te,11,6,6,5,36,0,2,9,1.8,27,5.4,2.0,0,,0,0.0,0,91.7,MorgDa01
356,Brian Parker,DEN,26,,13,1,10,5,33,0,2,4,0.8,29,5.8,4.3,1,5.0,1,10.0,1,17.9,ParkBr00
357,Joshua Perkins,PHI,25,,9,1,11,5,67,0,4,51,10.2,16,3.2,10.7,0,,2,18.2,1,27.5,PerkJo02
358,Eric Saubert,ATL,24,,16,1,9,5,48,0,2,35,7.0,13,2.6,5.3,0,,3,33.3,0,70.6,SaubEr00
359,Adam Shaheen,CHI,24,,6,4,6,5,48,1,3,35,7.0,13,2.6,9.8,0,,0,0.0,0,139.6,ShahAd00
360,Keith Smith,OAK,26,,16,3,6,5,23,0,3,5,1.0,18,3.6,3.8,0,,1,16.7,0,82.6,SmitKe03
361,Vyncint Smith,HOU,22,,7,1,10,5,91,1,3,85,17.0,6,1.2,19.3,0,,1,10.0,1,75.4,SmitVy00
362,Jeremy Sprinkle,WAS,24,te,16,9,9,5,41,1,3,20,4.0,21,4.2,6.4,1,5.0,0,0.0,0,104.4,SpriJe00
363,Mark Walton,CIN,21,,14,0,8,5,41,0,1,-7,-1.4,48,9.6,-1.4,0,,1,12.5,0,75.5,WaltMa00
364,Chad Beebe,MIN,24,,3,0,4,4,39,0,3,27,6.8,12,3.0,6.8,0,,0,0.0,0,107.3,BeebCh00
365,Nick Bellore,DET,29,FB,14,4,4,4,15,0,2,1,0.3,14,3.5,0.3,0,,0,0.0,0,82.3,BellNi01
