Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
58,Marqise Lee,JAX,26,WR,14,14,96,56,58.3%,702,12.5,3,40,45,7.3,4.0,50.1,1,LeexMa00
59,James White,NWE,25,,14,4,72,56,77.8%,429,7.7,3,25,27,6.0,4.0,30.6,0,WhitJa02
60,Robert Woods,LAR,25,WR,12,11,85,56,65.9%,781,13.9,5,36,94,9.2,4.7,65.1,1,WoodRo02
61,Jared Cook,OAK,30,TE,16,16,86,54,62.8%,688,12.7,2,35,35,8.0,3.4,43.0,1,CookJa02
62,Eric Decker,TEN,30,wr,16,8,83,54,65.1%,563,10.4,1,31,29,6.8,3.4,35.2,0,DeckEr00
63,Tarik Cohen,CHI,22,,16,4,71,53,74.6%,353,6.7,1,9,70,5.0,3.3,22.1,3,CoheTa00
64,Eric Ebron,DET,24,TE,16,9,86,53,61.6%,574,10.8,4,31,44,6.7,3.3,35.9,1,EbroEr00
65,Ted Ginn Jr.,NOR,32,WR,15,10,70,53,75.7%,787,14.8,4,32,54,11.2,3.5,52.5,2,GinnTe00
66,Kareem Hunt*,KAN,22,RB,16,16,63,53,84.1%,455,8.6,3,17,78,7.2,3.3,28.4,1,HuntKa00
67,Rishard Matthews,TEN,28,WR,14,11,87,53,60.9%,795,15.0,4,36,75,9.1,3.8,56.8,0,MattRi00
68,Jordy Nelson,GNB,32,WR,15,15,88,53,60.2%,482,9.1,6,38,58,5.5,3.5,32.1,0,NelsJo00
69,Theo Riddick,DET,26,rb,16,5,71,53,74.6%,444,8.4,2,20,63,6.3,3.3,27.8,1,RiddTh00
70,Terrance Williams,DAL,28,WR,16,14,78,53,67.9%,568,10.7,0,31,56,7.3,3.3,35.5,0,WillTe01
71,Brandon LaFell,CIN,31,WR,16,15,89,52,58.4%,548,10.5,3,25,45,6.2,3.3,34.3,1,LaFeBr00
72,Mike Wallace,BAL,31,WR,15,14,92,52,56.5%,748,14.4,4,33,66,8.1,3.5,49.9,0,WallMi00
73,Jerick McKinnon,MIN,25,,16,1,68,51,75.0%,421,8.3,2,20,41,6.2,3.2,26.3,3,McKiJe00
74,Martavis Bryant,PIT,26,WR,15,8,84,50,59.5%,603,12.1,3,29,51,7.2,3.3,40.2,0,BryaMa00
75,DeSean Jackson,TAM,31,WR,14,13,90,50,55.6%,668,13.4,3,37,41,7.4,3.6,47.7,0,JackDe00
76,Austin Seferian-Jenkins,NYJ,25,TE,13,10,74,50,67.6%,357,7.1,3,18,28,4.8,3.8,27.5,1,SefeAu00
77,Charles Clay,BUF,28,TE,13,13,74,49,66.2%,558,11.4,2,29,44,7.5,3.8,42.9,1,ClayCh00
78,Austin Hooper,ATL,23,te,16,8,65,49,75.4%,526,10.7,3,18,88,8.1,3.1,32.9,0,HoopAu00
79,Kelvin Benjamin,2TM,26,,14,14,78,48,61.5%,692,14.4,3,0,43,8.9,3.4,49.4,0,BenjKe00
80,Cameron Brate,TAM,26,TE,16,5,77,48,62.3%,591,12.3,6,34,35,7.7,3.0,36.9,1,BratCa00
81,Amari Cooper,OAK,23,WR,14,12,96,48,50.0%,680,14.2,7,28,87,7.1,3.4,48.6,1,CoopAm00
82,Emmanuel Sanders,DEN,30,WR,12,11,92,47,51.1%,555,11.8,2,30,38,6.0,3.9,46.3,0,SandEm00
83,Javorius Allen,BAL,26,,16,0,60,46,76.7%,250,5.4,2,16,20,4.2,2.9,15.6,0,AlleJa01
84,Ryan Grant,WAS,27,wr,16,7,65,45,69.2%,573,12.7,4,29,40,8.8,2.8,35.8,0,GranRy01
85,Hunter Henry,LAC,23,TE,14,13,62,45,72.6%,579,12.9,4,32,34,9.3,3.2,41.4,0,HenrHu00
86,Tyler Lockett,SEA,25,WR,16,8,71,45,63.4%,555,12.3,2,24,74,7.8,2.8,34.7,0,LockTy00
87,Paul Richardson,SEA,25,WR,16,13,80,44,55.0%,703,16.0,6,34,61,8.8,2.8,43.9,0,RichPa01
88,Shane Vereen,NYG,28,,16,0,53,44,83.0%,253,5.8,0,9,20,4.8,2.8,15.8,0,VereSh00
89,Giovani Bernard,CIN,26,,16,2,60,43,71.7%,389,9.0,2,17,61,6.5,2.7,24.3,0,BernGi00
90,Vernon Davis,WAS,33,TE,16,16,69,43,62.3%,648,15.1,3,24,69,9.4,2.7,40.5,2,DaviVe00
91,Jesse James,PIT,23,TE,16,14,63,43,68.3%,372,8.7,3,20,32,5.9,2.7,23.3,0,JameJe00
92,George Kittle,SFO,24,te,15,7,63,43,68.3%,515,12.0,2,24,44,8.2,2.9,34.3,0,KittGe00
93,Seth Roberts,OAK,26,wr,15,7,65,43,66.2%,455,10.6,1,23,29,7.0,2.9,30.3,2,RobeSe00
94,Trent Taylor,SFO,23,,15,1,60,43,71.7%,430,10.0,2,27,33,7.2,2.9,28.7,1,TaylTr02
95,Tyrell Williams,LAC,25,WR,16,15,69,43,62.3%,728,16.9,4,29,75,10.6,2.7,45.5,1,WillTy00
96,Keelan Cole,JAX,24,wr,16,6,83,42,50.6%,748,17.8,3,32,75,9.0,2.6,46.8,2,ColeKe00
97,Tyler Kroft,CIN,25,TE,16,16,62,42,67.7%,404,9.6,7,22,59,6.5,2.6,25.3,0,KrofTy00
98,Albert Wilson,KAN,25,WR,13,7,62,42,67.7%,554,13.2,3,32,63,8.9,3.2,42.6,0,WilsAl02
99,Julius Thomas,MIA,29,TE,14,12,62,41,66.1%,388,9.5,3,18,27,6.3,2.9,27.7,1,ThomJu00
100,Pierre Garcon,SFO,31,WR,8,8,67,40,59.7%,500,12.5,0,26,59,7.5,5.0,62.5,0,GarcPi00
101,Jeremy Maclin,BAL,29,WR,12,12,72,40,55.6%,440,11.0,3,23,48,6.1,3.3,36.7,0,MaclJe00
102,Andre Ellington,2TM,28,,12,2,59,39,66.1%,369,9.5,0,0,29,6.3,3.3,30.8,0,ElliAn00
103,Allen Hurns,JAX,26,WR,10,8,56,39,69.6%,484,12.4,2,28,50,8.6,3.9,48.4,0,HurnAl01
104,DeMarco Murray,TEN,29,RB,15,15,47,39,83.0%,266,6.8,1,11,18,5.7,2.6,17.7,1,MurrDe00
105,Chris Thompson,WAS,27,,10,1,54,39,72.2%,510,13.1,4,22,74,9.4,3.9,51.0,3,ThomCh03
106,Sammy Watkins,LAR,24,WR,15,14,70,39,55.7%,593,15.2,8,33,67,8.5,2.6,39.5,0,WatkSa00
107,Deonte Thompson,2TM,28,,16,10,69,38,55.1%,555,14.6,2,0,46,8.0,2.4,34.7,1,ThomDe04
108,Matt Forte,NYJ,32,rb,12,4,45,37,82.2%,293,7.9,1,14,34,6.5,3.1,24.4,1,FortMa00
109,Cole Beasley,DAL,28,,15,4,63,36,57.1%,314,8.7,4,20,54,5.0,2.4,20.9,0,BeasCo00
110,Leonard Fournette,JAX,22,RB,13,13,48,36,75.0%,302,8.4,1,18,28,6.3,2.8,23.2,2,FourLe00
111,Devonta Freeman,ATL,25,RB,14,14,47,36,76.6%,317,8.8,1,18,29,6.7,2.6,22.6,4,FreeDe00
112,Roger Lewis,NYG,24,WR,15,8,72,36,50.0%,416,11.6,2,20,34,5.8,2.4,27.7,0,LewiRo03
113,Lamar Miller,HOU,26,RB,16,13,45,36,80.0%,327,9.1,3,18,32,7.3,2.3,20.4,1,MillLa01
114,Torrey Smith,PHI,28,WR,16,14,67,36,53.7%,430,11.9,2,11,59,6.4,2.3,26.9,0,SmitTo02
115,Josh Doctson,WAS,25,WR,16,14,78,35,44.9%,502,14.3,6,25,52,6.4,2.2,31.4,0,DoctJo00
116,Charles Sims,TAM,27,,16,0,47,35,74.5%,249,7.1,1,13,25,5.3,2.2,15.6,1,SimsCh00
117,Travis Benjamin,LAC,28,,16,3,62,34,54.8%,567,16.7,4,21,62,9.1,2.1,35.4,2,BenjTr00
118,Corey Davis,TEN,22,WR,11,9,65,34,52.3%,375,11.0,0,17,37,5.8,3.1,34.1,1,DaviCo03
119,Wayne Gallman,NYG,23,,13,1,48,34,70.8%,193,5.7,1,8,11,4.0,2.6,14.8,3,GallWa00
120,Chris Godwin,TAM,21,,16,2,55,34,61.8%,525,15.4,1,27,70,9.5,2.1,32.8,0,GodwCh00
121,Chris Hogan,NWE,30,WR,9,7,59,34,57.6%,439,12.9,5,22,47,7.4,3.8,48.8,0,HogaCh00
