Player,Tm,Age,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional,ProBowl,AllPro,Year,G_-1_year,GS_-1_year,Tgt_-1_year,Rec_-1_year,Yds_-1_year,TD_-1_year,G_-2_year,GS_-2_year,Tgt_-2_year,Rec_-2_year,Yds_-2_year,TD_-2_year,Rnd,Pick,Pos,YrsPlayed
Trayveon Williams,CIN,23,10,0,5,5,30,0,1.0,-11,-2.2,41,8.2,-2.2,2,2.5,0,0.0,0,91.7,WillTr06,0,0,2020,,,,,,,16.0,10.0,14.0,12.0,89.0,1.0,6.0,182.0,RB,1
Josh Malone,NYJ,24,4,0,6,4,16,0,1.0,8,2.0,8,2.0,2.8,0,0.0,1,16.7,0,70.1,MaloJo00,0,0,2020,,,,,,,9.0,0.0,5.0,1.0,12.0,0.0,4.0,128.0,WR,3
Trenton Cannon,CAR,26,14,0,3,3,16,0,1.0,3,1.0,13,4.3,1.0,1,3.0,0,0.0,0,88.9,CannTr00,0,0,2020,,,,,,,16.0,0.0,25.0,17.0,144.0,0.0,6.0,204.0,RB,2
Lil'Jordan Humphrey,NOR,22,3,1,5,3,46,1,3.0,36,12.0,10,3.3,10.6,1,3.0,0,0.0,1,90.4,HumpLi01,0,0,2020,,,,,,,16.0,10.0,14.0,8.0,106.0,1.0,8.0,260.0,WR,1
Alfred Morris,NYG,32,9,0,4,3,19,1,2.0,2,0.7,17,5.7,1.0,1,3.0,0,0.0,0,124.0,MorrAl00,0,0,2020,,,,,,,12.0,1.0,13.0,8.0,73.0,0.0,6.0,173.0,RB,8
Daniel Brown,NYJ,28,16,1,2,2,31,0,2.0,10,5.0,21,10.5,5.0,0,0.0,0,0.0,0,118.7,BrowDa04,0,0,2020,16.0,5.0,11.0,7.0,72.0,1.0,,,,,,,8.0,260.0,TE,5
Jake Butt,DEN,25,5,1,4,2,5,0,0.0,3,1.5,2,1.0,1.8,0,0.0,1,25.0,0,56.2,ButtJa00,0,0,2020,,,,,,,3.0,3.0,13.0,8.0,85.0,0.0,5.0,145.0,TE,2
Chandler Cox,MIA,24,8,3,2,2,9,0,1.0,2,1.0,7,3.5,1.0,0,0.0,0,0.0,0,85.4,CoxxCh01,0,0,2020,,,,,,,16.0,10.0,7.0,5.0,39.0,0.0,7.0,233.0,RB,1
Daurice Fountain,IND,25,5,0,3,2,23,0,2.0,23,11.5,0,0.0,9.3,0,0.0,0,0.0,0,89.6,FounDa00,0,0,2020,,,,,,,,,,,,,5.0,159.0,WR,2
Lamar Miller,CHI,29,1,0,2,2,6,0,1.0,2,1.0,4,2.0,1.0,0,0.0,0,0.0,0,79.2,MillLa01,0,0,2020,,,,,,,14.0,14.0,35.0,25.0,163.0,1.0,4.0,97.0,RB,8
