Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional,Year,G19,GS19,Tgt19,Rec19,Yds19,TD19,G18,GS18,Tgt18,Rec18,Yds18,TD18
48,Brandon Aiyuk,SFO,22,WR,12,11,96,60,748,5,42.0,459,7.7,289,4.8,9.4,7,8.6,5,5.2,4,86.6,AiyuBr00,2020,,,,,,,,,,,,
49,Hunter Henry,LAC,26,TE,14,14,93,60,613,4,35.0,387,6.5,226,3.8,8.0,3,20.0,2,2.2,1,93.2,HenrHu00,2020,12.0,12.0,76.0,55.0,652.0,5.0,,,,,,
50,Jamison Crowder,NYJ,27,WR,12,7,89,59,699,6,32.0,372,6.3,327,5.5,7.6,2,29.5,3,3.4,3,98.5,CrowJa00,2020,16.0,12.0,122.0,78.0,833.0,6.0,9.0,7.0,49.0,29.0,388.0,2.0
51,Mike Davis,CAR,27,RB,15,12,70,59,373,2,17.0,-45,-0.8,418,7.1,-0.5,11,5.4,2,2.9,1,92.4,DaviMi01,2020,12.0,1.0,8.0,7.0,22.0,0.0,15.0,2.0,42.0,34.0,214.0,1.0
52,Michael Gallup,DAL,24,WR,16,15,105,59,843,5,44.0,591,10.0,252,4.3,11.8,7,8.4,6,5.7,0,98.2,GallMi00,2020,14.0,12.0,113.0,66.0,1107.0,6.0,16.0,8.0,68.0,33.0,507.0,2.0
53,Jakobi Meyers,NWE,24,WR,14,9,81,59,729,0,37.0,513,8.7,216,3.7,10.2,4,14.8,4,4.9,2,90.0,MeyeJa01,2020,15.0,1.0,41.0,26.0,359.0,0.0,,,,,,
54,Mark Andrews,BAL,25,,14,2,88,58,701,7,37.0,519,8.9,182,3.1,10.2,2,29.0,5,5.7,1,112.0,AndrMa00,2020,15.0,4.0,98.0,64.0,852.0,10.0,16.0,3.0,50.0,34.0,552.0,3.0
55,Marquise Brown,BAL,23,WR,16,14,100,58,769,8,35.0,495,8.5,274,4.7,12.9,4,14.5,6,6.0,4,92.5,BrowMa04,2020,14.0,11.0,71.0,46.0,584.0,7.0,,,,,,
56,Laviska Shenault Jr.,JAX,22,WR,14,12,79,58,600,5,33.0,302,5.2,298,5.1,6.2,8,7.3,3,3.8,0,116.0,ShenLa00,2020,,,,,,,,,,,,
57,Eric Ebron,PIT,27,TE,15,9,91,56,558,5,30.0,366,6.5,192,3.4,7.1,0,,7,7.7,1,92.7,EbroEr00,2020,11.0,2.0,52.0,31.0,375.0,3.0,16.0,8.0,110.0,66.0,750.0,13.0
