Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
364,Javorius Allen,BAL,25,,8,0,4,3,75.0%,15,5.0,0,2,8,3.8,0.4,1.9,0,AlleJa01
365,Jace Amaro,TEN,24,,3,0,4,3,75.0%,59,19.7,0,2,26,14.8,1.0,19.7,0,AmarJa00
366,Quan Bray,IND,23,,6,0,4,3,75.0%,36,12.0,0,1,22,9.0,0.5,6.0,0,BrayQu00
367,Malcolm Brown,LAR,23,,16,0,3,3,100.0%,46,15.3,0,2,26,15.3,0.2,2.9,1,BrowMa03
368,Leonte Carroo,MIA,22,,14,2,6,3,50.0%,29,9.7,1,2,15,4.8,0.2,2.1,0,CarrLe00
369,Mike Davis,SFO,23,,8,1,5,3,60.0%,25,8.3,0,0,10,5.0,0.4,3.1,1,DaviMi01
370,Trevor Davis,GNB,23,,11,0,7,3,42.9%,24,8.0,1,2,9,3.4,0.3,2.2,2,DaviTr03
371,James Develin,NWE,28,,16,4,6,3,50.0%,18,6.0,0,2,13,3.0,0.2,1.1,0,DeveJa00
372,Alex Ellis,JAX,23,,6,3,4,3,75.0%,11,3.7,0,0,6,2.8,0.5,1.8,0,ElliAl01
373,Tyler Ervin,HOU,23,,12,0,5,3,60.0%,18,6.0,0,0,9,3.6,0.3,1.5,3,ErviTy00
374,Clay Harbor,2TM,29,,15,2,3,3,100.0%,19,6.3,0,0,9,6.3,0.2,1.3,0,HarbCl00
375,Akeem Hunt,HOU,23,,8,0,4,3,75.0%,29,9.7,0,1,24,7.3,0.4,3.6,2,HuntAk01
376,Bradley Marquez,LAR,24,,14,0,7,3,42.9%,37,12.3,0,3,13,5.3,0.2,2.6,0,MarqBr00
377,Byron Marshall,PHI,22,,3,0,5,3,60.0%,10,3.3,0,1,7,2.0,1.0,3.3,0,MarsBy01
378,Darren McFadden,DAL,29,,3,1,5,3,60.0%,17,5.7,0,1,11,3.4,1.0,5.7,0,McFaDa00
379,Alfred Morris,DAL,28,,14,0,6,3,50.0%,11,3.7,0,0,6,1.8,0.2,0.8,0,MorrAl00
380,Logan Paulsen,CHI,29,TE,16,12,10,3,30.0%,15,5.0,0,1,7,1.5,0.2,0.9,0,PaulLo00
381,Joshua Perkins,ATL,23,,8,1,5,3,60.0%,42,14.0,1,2,26,8.4,0.4,5.3,0,PerkJo02
382,Adrian Peterson,MIN,31,,3,3,6,3,50.0%,8,2.7,0,0,7,1.3,1.0,2.7,1,PeteAd01
383,Denard Robinson,JAX,26,,13,1,5,3,60.0%,22,7.3,0,1,11,4.4,0.2,1.7,0,RobiDe00
384,Keith Smith,DAL,24,,16,1,4,3,75.0%,20,6.7,0,1,14,5.0,0.2,1.3,0,SmitKe03
385,Lorenzo Taliaferro,BAL,25,,3,0,3,3,100.0%,10,3.3,0,0,8,3.3,1.0,3.3,0,TaliLo00
386,Mike Thomas,LAR,22,,15,0,9,3,33.3%,37,12.3,0,2,16,4.1,0.2,2.5,1,ThomMi04
387,Fitzgerald Toussaint,PIT,26,,16,0,3,3,100.0%,33,11.0,0,2,15,11.0,0.2,2.1,0,TousFi00
388,Ross Travis,KAN,23,,6,3,6,3,50.0%,15,5.0,0,1,6,2.5,0.5,2.5,0,TravRo00
389,Bryce Treggs,PHI,22,,9,1,12,3,25.0%,80,26.7,0,3,58,6.7,0.3,8.9,0,TregBr00
390,Nick Vannett,SEA,23,,9,2,4,3,75.0%,32,10.7,0,1,21,8.0,0.3,3.6,0,VannNi00
391,Lucky Whitehead,DAL,24,,15,1,3,3,100.0%,48,16.0,0,2,35,16.0,0.2,3.2,3,WhitLu00
392,Brenton Bersin,CAR,26,,10,0,6,2,33.3%,17,8.5,0,2,10,2.8,0.2,1.7,0,BersBr00
393,Kapri Bibbs,DEN,23,,12,0,4,2,50.0%,75,37.5,1,1,69,18.8,0.2,6.3,0,BibbKa00
394,Brandon Bolden,NWE,26,,14,0,4,2,50.0%,15,7.5,0,1,13,3.8,0.1,1.1,0,BoldBr00
395,Jeremy Butler,SDG,25,,4,0,2,2,100.0%,11,5.5,0,0,6,5.5,0.5,2.8,0,ButlJe01
396,Derek Carrier,WAS,26,,8,0,2,2,100.0%,10,5.0,0,0,6,5.0,0.3,1.3,0,CarrDe00
397,Jamaal Charles,KAN,30,,3,0,3,2,66.7%,14,7.0,0,1,16,4.7,0.7,4.7,0,CharJa00
398,Orleans Darkwa,NYG,24,,10,2,4,2,50.0%,12,6.0,0,0,9,3.0,0.2,1.2,0,DarkOr00
399,Josh Doctson,WAS,24,,2,0,6,2,33.3%,66,33.0,0,1,57,11.0,1.0,33.0,0,DoctJo00
400,Je'Ron Hamm,SFO,24,,5,0,4,2,50.0%,13,6.5,0,1,7,3.3,0.4,2.6,0,HammJe01
401,Percy Harvin,BUF,28,,2,1,4,2,50.0%,6,3.0,0,0,5,1.5,1.0,3.0,0,HarvPe00
402,Ryan Hewitt,CIN,25,TE,16,11,3,2,66.7%,13,6.5,0,1,8,4.3,0.1,0.8,0,HewiRy00
403,Johnny Holton,OAK,26,,15,0,3,2,66.7%,34,17.0,0,2,30,11.3,0.1,2.3,1,HoltJo00
404,Tavarres King,NYG,26,,7,0,4,2,50.0%,50,25.0,0,1,44,12.5,0.3,7.1,0,KingTa00
405,Daniel Lasco,NOR,24,,7,0,4,2,50.0%,11,5.5,0,0,7,2.8,0.3,1.6,0,LascDa00
